Wavelength,Intensity0
330.08902,1054
330.12544,1050
330.16186,1066
330.19828,1050
330.2347,1056
330.27112,1060
330.30754,1048
330.34396,1060
330.38038,1048
330.4168,1058
330.45322,1062
330.48964,1058
330.52606,1050
330.56248,1058
330.5989,1056
330.63532,1050
330.67174,1046
330.70816,1052
330.74458,1060
330.781,1056
330.81742,1054
330.85384,1066
330.89026,1056
330.92668,1050
330.9631,1048
330.99952,1062
331.03594,1050
331.07236,1060
331.10878,1048
331.1452,1054
331.18162,1052
331.21804,1050
331.25446,1046
331.29088,1072
331.3273,1056
331.36372,1044
331.40014,1052
331.43656,1048
331.47298,1052
331.5094,1048
331.54582,1050
331.58224,1054
331.61866,1050
331.65508,1048
331.6915,1060
331.72792,1048
331.76434,1056
331.80076,1054
331.83718,1048
331.8736,1054
331.91002,1042
331.94644,1054
331.98286,1054
332.01928,1044
332.0557,1046
332.09212,1048
332.12854,1044
332.16496,1050
332.20138,1052
332.2378,1056
332.27422,1056
332.31064,1040
332.34706,1044
332.38348,1046
332.4199,1052
332.45632,1052
332.49274,1050
332.52916,1048
332.56558,1046
332.602,1052
332.63842,1062
332.67484,1058
332.71126,1050
332.74768,1066
332.7841,1068
332.82052,1056
332.85694,1056
332.89336,1054
332.92978,1060
332.9662,1054
333.00262,1048
333.03904,1076
333.07546,1056
333.11188,1052
333.1483,1042
333.18472,1058
333.22114,1052
333.25756,1060
333.29398,1048
333.3304,1056
333.36682,1054
333.40324,1056
333.43966,1052
333.47608,1064
333.5125,1056
333.54892,1054
333.58534,1046
333.62176,1044
333.65818,1054
333.6946,1056
333.73102,1054
333.76744,1046
333.80386,1058
333.84028,1060
333.8767,1054
333.91312,1050
333.94954,1054
333.98596,1058
334.02238,1038
334.0588,1062
334.09522,1046
334.13164,1052
334.16806,1060
334.20448,1050
334.2409,1054
334.27732,1058
334.31374,1062
334.35016,1062
334.38658,1054
334.423,1054
334.45942,1056
334.49584,1062
334.53226,1058
334.56868,1058
334.6051,1040
334.64152,1050
334.67794,1056
334.71436,1060
334.75078,1040
334.7872,1044
334.82362,1052
334.86004,1056
334.89646,1052
334.93288,1048
334.9693,1050
335.00572,1050
335.04214,1052
335.07856,1046
335.11498,1046
335.1514,1050
335.18782,1052
335.22424,1052
335.26066,1048
335.29708,1046
335.3335,1052
335.36992,1054
335.40634,1050
335.44276,1052
335.47918,1050
335.5156,1042
335.55202,1050
335.58844,1048
335.62486,1052
335.66128,1048
335.6977,1052
335.73412,1052
335.77054,1052
335.80696,1058
335.84338,1052
335.8798,1046
335.91622,1044
335.95264,1064
335.98906,1060
336.02548,1054
